,formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
392,"[27, 27, 24, 50]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.99,1.0,0.016,91.25,0.118,False,4.019,693.69
393,"[27, 27, 24, 15]","[1, 0, 0]",29,"[1, 0, 0, 0, 0, 0]",4.95,1.4121,-0.268,29.41,0.0,True,1.2939,280.25
394,"[27, 27, 24, 33]","[1, 0, 0]",29,"[1, 0, 0, 0, 0, 0]",5.1204,1.389,-0.015,14.29,0.0,True,1.3838,275.29
395,"[27, 27, 24, 51]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",6.0086,1.0001,0.051,100.0,0.271,False,5.0,854.89
396,"[27, 27, 25, 13]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.7,1.0,-0.356,59.7,0.418,True,4.0235,805.95
397,"[27, 27, 25, 31]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.7183,1.0002,-0.228,72.89,0.109,True,4.0987,813.01
398,"[27, 27, 25, 49]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.9839,0.9998,0.069,2.06,0.0,False,4.4315,767.41
399,"[27, 27, 25, 14]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.6301,0.9997,-0.441,100.0,0.571,True,5.0,1039.59
400,"[27, 27, 25, 32]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.7347,1.0002,-0.248,99.46,0.323,True,5.0,983.33
401,"[27, 27, 25, 50]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.99,1.0,-0.131,76.76,0.175,True,5.0283,867.9
402,"[27, 27, 25, 15]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.6382,0.9995,-0.314,100.0,0.637,True,5.9999,1242.43
403,"[27, 27, 25, 33]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.7963,0.9988,-0.126,95.58,0.162,True,5.9966,1143.66
404,"[27, 27, 25, 51]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",6.018,1.0011,-0.087,100.0,0.395,True,6.0,1020.09
405,"[27, 27, 26, 13]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.7,1.0,-0.359,74.69,0.009,True,4.991,999.75
406,"[27, 27, 26, 31]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.72,1.0,-0.231,74.39,0.0,True,5.0109,993.24
407,"[27, 27, 26, 49]","[1, 0, 0]",29,"[0, 1, 0, 0, 0, 0]",5.98,1.0,0.065,31.78,0.028,False,5.1132,886.99
408,"[27, 27, 26, 14]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.628,0.9992,-0.354,72.34,0.052,True,5.48,1141.24
409,"[27, 27, 26, 32]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.74,1.0,-0.163,67.99,0.043,True,5.6579,1109.8
410,"[27, 27, 26, 50]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.9935,1.0033,-0.039,68.56,0.096,True,5.7037,979.57
411,"[27, 27, 26, 15]","[1, 0, 0]",31,"[1, 0, 0, 0, 0, 0]",5.1947,1.2352,-0.247,6.49,0.0,True,4.6553,997.36
412,"[27, 27, 26, 33]","[1, 0, 0]",31,"[1, 0, 0, 0, 0, 0]",5.38,1.2193,-0.038,11.48,0.0,True,5.0427,985.19
413,"[27, 27, 26, 51]","[1, 0, 0]",31,"[1, 0, 0, 0, 0, 0]",5.63,1.1918,0.029,14.9,0.0,False,4.8951,853.79
414,"[27, 27, 27, 13]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.68,1.0,-0.22,67.49,0.0,True,4.0336,816.54
415,"[27, 27, 27, 31]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.7,1.0,-0.09,69.43,0.0,True,4.0989,821.05
416,"[27, 27, 27, 49]","[1, 0, 0]",30,"[0, 1, 0, 0, 0, 0]",5.97,1.0,0.209,74.43,0.0,False,4.3081,751.09
417,"[27, 27, 27, 14]","[1, 0, 0]",31,"[1, 0, 0, 0, 0, 0]",5.07,1.3156,-0.285,62.54,0.0,True,2.8601,618.82
